Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8           Egz.
Vardas6753           Pavarde6753           4              1              10             9              5              10             3              6              7              
Vardas6754           Pavarde6754           5              5              2              6              3              4              10             2              9              
Vardas6755           Pavarde6755           9              10             5              2              8              2              2              9              4              
Vardas6756           Pavarde6756           0              7              4              0              2              8              1              4              8              
Vardas6757           Pavarde6757           1              8              7              8              4              1              8              8              0              
Vardas6758           Pavarde6758           2              7              5              2              4              8              8              10             6              
Vardas6759           Pavarde6759           5              3              9              2              8              3              6              7              10             
Vardas6760           Pavarde6760           0              7              4              5              8              3              4              10             4              
Vardas6761           Pavarde6761           4              7              9              7              2              6              6              0              2              
Vardas6762           Pavarde6762           7              8              7              3              7              10             10             8              5              
Vardas6763           Pavarde6763           3              9              6              7              5              7              10             6              10             
Vardas6764           Pavarde6764           3              0              10             10             1              10             6              9              0              
Vardas6765           Pavarde6765           5              8              10             8              10             9              7              4              3              
Vardas6766           Pavarde6766           2              7              7              1              2              10             7              5              4              
Vardas6767           Pavarde6767           8              0              5              4              3              7              3              1              4              
Vardas6768           Pavarde6768           9              8              3              3              10             3              1              4              5              
Vardas6769           Pavarde6769           9              8              3              7              5              3              7              9              10             
Vardas6770           Pavarde6770           4              4              6              10             9              2              9              10             9              
Vardas6771           Pavarde6771           3              8              8              3              3              4              7              6              6              
Vardas6772           Pavarde6772           1              1              7              7              4              6              7              10             9              
Vardas6773           Pavarde6773           0              7              8              3              7              7              2              7              4              
Vardas6774           Pavarde6774           6              10             10             10             1              4              10             3              8              
Vardas6775           Pavarde6775           2              2              4              4              2              3              7              9              8              
Vardas6776           Pavarde6776           8              4              9              9              4              9              6              8              9              
Vardas6777           Pavarde6777           5              5              0              9              6              3              4              2              7              
Vardas6778           Pavarde6778           4              2              7              4              4              9              7              1              4              
Vardas6779           Pavarde6779           5              0              9              9              10             8              6              1              10             
Vardas6780           Pavarde6780           4              1              9              4              10             9              1              1              4              
Vardas6781           Pavarde6781           6              7              0              1              7              0              1              8              8              
Vardas6782           Pavarde6782           2              9              5              5              6              3              4              8              7              
Vardas6783           Pavarde6783           2              0              7              2              1              4              9              3              1              
Vardas6784           Pavarde6784           0              2              3              5              9              5              0              3              2              
Vardas6785           Pavarde6785           10             10             6              9              5              3              3              7              0              
Vardas6786           Pavarde6786           7              10             10             10             7              10             10             3              2              
Vardas6787           Pavarde6787           6              3              1              9              3              8              7              6              4              
Vardas6788           Pavarde6788           1              5              9              7              10             0              9              9              9              
Vardas6789           Pavarde6789           8              1              3              6              9              3              6              5              7              
Vardas6790           Pavarde6790           8              7              8              0              7              5              5              6              1              
Vardas6791           Pavarde6791           10             2              2              2              5              7              0              1              2              
Vardas6792           Pavarde6792           6              0              0              7              1              9              2              0              5              
Vardas6793           Pavarde6793           7              0              9              1              6              8              1              3              6              
Vardas6794           Pavarde6794           1              7              6              4              8              5              0              4              4              
Vardas6795           Pavarde6795           6              7              7              8              5              4              2              10             8              
Vardas6796           Pavarde6796           9              5              5              0              5              9              1              1              7              
Vardas6797           Pavarde6797           7              1              10             2              1              4              0              8              8              
Vardas6798           Pavarde6798           6              0              9              10             1              9              8              6              2              
Vardas6799           Pavarde6799           8              8              0              4              1              6              1              6              6              
Vardas6800           Pavarde6800           7              6              1              10             6              3              5              1              7              
Vardas6801           Pavarde6801           3              9              4              10             10             7              9              8              0              
Vardas6802           Pavarde6802           8              2              4              0              9              8              3              9              2              
Vardas6803           Pavarde6803           9              6              10             2              0              1              2              0              9              
Vardas6804           Pavarde6804           10             2              1              1              8              1              10             8              6              
Vardas6805           Pavarde6805           10             6              7              10             8              1              8              9              5              
Vardas6806           Pavarde6806           1              7              1              3              2              5              0              9              7              
Vardas6807           Pavarde6807           9              9              4              8              4              9              8              0              5              
Vardas6808           Pavarde6808           2              8              9              5              4              0              10             7              9              
Vardas6809           Pavarde6809           6              4              4              1              10             7              6              2              2              
Vardas6810           Pavarde6810           4              1              8              7              0              7              6              9              2              
Vardas6811           Pavarde6811           3              9              4              1              0              2              8              6              1              
Vardas6812           Pavarde6812           7              3              1              1              6              8              5              3              3              
Vardas6813           Pavarde6813           8              6              7              10             8              8              7              9              2              
Vardas6814           Pavarde6814           2              1              8              2              9              6              7              7              8              
Vardas6815           Pavarde6815           6              2              8              6              3              7              6              2              10             
Vardas6816           Pavarde6816           0              2              6              0              8              1              1              6              9              
Vardas6817           Pavarde6817           0              5              1              7              10             7              0              8              9              
Vardas6818           Pavarde6818           10             5              10             1              7              8              5              3              6              
Vardas6819           Pavarde6819           0              7              5              5              10             5              4              8              2              
Vardas6820           Pavarde6820           4              7              10             7              9              4              2              2              3              
Vardas6821           Pavarde6821           2              8              4              7              2              1              5              2              6              
Vardas6822           Pavarde6822           9              9              2              0              10             3              0              0              0              
Vardas6823           Pavarde6823           10             1              0              8              2              6              1              3              2              
Vardas6824           Pavarde6824           3              2              4              2              1              5              0              5              3              
Vardas6825           Pavarde6825           5              10             8              3              7              1              5              0              5              
Vardas6826           Pavarde6826           8              4              9              1              2              6              6              0              6              
Vardas6827           Pavarde6827           8              6              3              7              3              2              4              4              1              
Vardas6828           Pavarde6828           1              8              8              9              7              10             1              10             10             
Vardas6829           Pavarde6829           5              4              5              3              3              1              2              7              1              
Vardas6830           Pavarde6830           7              8              3              2              3              5              2              1              3              
Vardas6831           Pavarde6831           4              7              7              0              5              9              1              8              9              
Vardas6832           Pavarde6832           2              2              10             6              9              5              4              2              5              
Vardas6833           Pavarde6833           8              0              7              4              0              1              8              8              7              
Vardas6834           Pavarde6834           3              10             5              4              1              8              2              3              5              
Vardas6835           Pavarde6835           0              2              5              6              5              2              10             4              6              
Vardas6836           Pavarde6836           10             10             9              4              6              6              7              1              7              
Vardas6837           Pavarde6837           5              10             8              6              5              7              9              10             0              
Vardas6838           Pavarde6838           10             4              8              3              2              6              9              1              9              
Vardas6839           Pavarde6839           1              10             1              1              8              7              7              4              1              
Vardas6840           Pavarde6840           3              5              10             6              1              3              5              0              6              
Vardas6841           Pavarde6841           8              1              8              7              5              5              10             6              4              
Vardas6842           Pavarde6842           4              3              10             3              5              10             3              8              8              
Vardas6843           Pavarde6843           7              3              4              0              3              5              9              9              10             
Vardas6844           Pavarde6844           4              8              3              0              8              3              2              7              3              
Vardas6845           Pavarde6845           2              0              9              3              4              9              3              10             6              
Vardas6846           Pavarde6846           3              5              0              5              6              4              6              5              7              
Vardas6847           Pavarde6847           4              9              9              4              2              6              9              6              4              
Vardas6848           Pavarde6848           1              2              4              4              2              10             7              8              7              
Vardas6849           Pavarde6849           4              6              6              2              6              0              10             2              6              
Vardas6850           Pavarde6850           4              10             10             7              10             2              9              0              1              
Vardas6851           Pavarde6851           3              4              4              1              8              3              5              2              6              
Vardas6852           Pavarde6852           0              2              0              1              7              8              4              0              1              
Vardas6853           Pavarde6853           1              4              9              3              5              9              10             4              2              
Vardas6854           Pavarde6854           10             7              10             3              7              9              2              0              0              
Vardas6855           Pavarde6855           0              5              10             1              3              7              6              10             6              
Vardas6856           Pavarde6856           8              8              0              1              5              8              2              8              4              
Vardas6857           Pavarde6857           10             6              5              5              8              4              3              7              0              
Vardas6858           Pavarde6858           2              3              4              6              2              1              6              5              1              
Vardas6859           Pavarde6859           3              7              2              5              10             4              5              3              2              
Vardas6860           Pavarde6860           3              7              9              2              7              9              8              8              1              
Vardas6861           Pavarde6861           6              9              2              3              0              4              0              1              0              
Vardas6862           Pavarde6862           5              1              1              1              6              10             10             8              1              
Vardas6863           Pavarde6863           6              2              5              5              2              6              9              3              8              
Vardas6864           Pavarde6864           4              3              1              2              4              5              1              2              0              
Vardas6865           Pavarde6865           7              10             8              1              1              4              1              4              3              
Vardas6866           Pavarde6866           3              1              0              0              7              6              0              10             9              
Vardas6867           Pavarde6867           0              3              7              6              0              5              8              8              3              
Vardas6868           Pavarde6868           7              5              3              4              7              3              3              7              10             
Vardas6869           Pavarde6869           5              1              2              3              8              8              3              5              3              
Vardas6870           Pavarde6870           4              6              6              8              9              10             5              4              5              
Vardas6871           Pavarde6871           9              7              7              4              4              0              5              4              5              
Vardas6872           Pavarde6872           9              8              8              3              5              9              6              1              6              
Vardas6873           Pavarde6873           4              7              0              7              4              0              2              9              7              
Vardas6874           Pavarde6874           4              7              8              4              6              9              3              3              8              
Vardas6875           Pavarde6875           7              1              1              1              4              4              9              1              7              
Vardas6876           Pavarde6876           3              3              7              8              5              4              1              9              4              
Vardas6877           Pavarde6877           10             1              8              4              10             6              6              2              6              
Vardas6878           Pavarde6878           2              10             2              4              3              7              4              4              4              
Vardas6879           Pavarde6879           2              5              8              5              6              2              2              4              1              
Vardas6880           Pavarde6880           2              8              9              4              6              5              7              0              2              
Vardas6881           Pavarde6881           10             8              8              0              2              4              7              9              0              
Vardas6882           Pavarde6882           8              1              8              7              9              5              7              10             0              
Vardas6883           Pavarde6883           6              10             5              3              5              5              0              7              9              
Vardas6884           Pavarde6884           2              8              8              9              0              4              2              6              4              
Vardas6885           Pavarde6885           4              3              9              1              9              6              0              6              10             
Vardas6886           Pavarde6886           9              3              10             9              4              10             8              8              4              
Vardas6887           Pavarde6887           9              0              2              5              10             10             2              3              10             
Vardas6888           Pavarde6888           9              5              10             1              0              9              1              5              4              
Vardas6889           Pavarde6889           9              5              6              10             0              4              6              5              7              
Vardas6890           Pavarde6890           3              2              3              1              0              3              3              9              3              
Vardas6891           Pavarde6891           7              9              0              8              7              3              5              1              8              
Vardas6892           Pavarde6892           9              7              3              1              1              1              6              7              5              
Vardas6893           Pavarde6893           1              2              2              8              9              6              6              4              8              
Vardas6894           Pavarde6894           2              2              7              10             2              5              3              0              10             
Vardas6895           Pavarde6895           4              7              3              6              9              9              7              4              7              
Vardas6896           Pavarde6896           2              8              6              7              3              0              7              9              4              
Vardas6897           Pavarde6897           0              3              4              9              1              0              9              9              3              
Vardas6898           Pavarde6898           5              4              3              4              0              6              2              5              3              
Vardas6899           Pavarde6899           4              5              10             1              0              2              1              2              1              
Vardas6900           Pavarde6900           3              2              2              8              5              5              1              8              0              
Vardas6901           Pavarde6901           5              1              6              4              8              2              9              9              1              
Vardas6902           Pavarde6902           0              2              5              0              7              7              3              7              7              
Vardas6903           Pavarde6903           6              0              8              5              10             5              10             10             9              
Vardas6904           Pavarde6904           10             3              8              6              3              10             9              8              2              
Vardas6905           Pavarde6905           1              5              2              1              6              3              2              0              5              
Vardas6906           Pavarde6906           10             3              4              5              2              5              8              1              2              
Vardas6907           Pavarde6907           6              0              3              6              10             9              8              0              7              
Vardas6908           Pavarde6908           9              7              9              7              2              6              5              9              3              
Vardas6909           Pavarde6909           1              10             9              3              1              4              0              4              10             
Vardas6910           Pavarde6910           2              9              10             10             1              4              5              7              2              
Vardas6911           Pavarde6911           0              4              3              3              4              8              4              7              9              
Vardas6912           Pavarde6912           3              6              8              8              9              6              7              4              7              
Vardas6913           Pavarde6913           10             4              4              7              9              7              0              6              8              
Vardas6914           Pavarde6914           9              10             4              5              0              7              3              9              0              
Vardas6915           Pavarde6915           5              4              9              3              10             7              9              5              3              
Vardas6916           Pavarde6916           2              0              8              1              9              6              10             0              2              
Vardas6917           Pavarde6917           3              8              4              7              2              6              4              8              2              
Vardas6918           Pavarde6918           10             10             3              10             4              5              2              7              5              
Vardas6919           Pavarde6919           5              7              9              7              9              1              0              10             2              
Vardas6920           Pavarde6920           0              2              7              6              6              6              0              5              3              
Vardas6921           Pavarde6921           0              10             3              4              7              0              1              6              7              
Vardas6922           Pavarde6922           1              6              9              5              4              6              5              1              7              
Vardas6923           Pavarde6923           10             6              2              0              9              3              2              8              2              
Vardas6924           Pavarde6924           5              7              3              9              0              2              9              5              1              
Vardas6925           Pavarde6925           3              5              3              6              3              8              0              9              1              
Vardas6926           Pavarde6926           3              9              0              8              7              3              8              9              3              
Vardas6927           Pavarde6927           9              3              9              7              9              9              7              2              6              
Vardas6928           Pavarde6928           3              7              3              5              0              3              8              0              9              
Vardas6929           Pavarde6929           2              10             4              2              7              3              3              10             8              
Vardas6930           Pavarde6930           1              4              8              6              10             10             8              10             9              
Vardas6931           Pavarde6931           4              9              2              0              6              1              4              7              8              
Vardas6932           Pavarde6932           6              8              2              5              0              2              4              3              2              
Vardas6933           Pavarde6933           7              8              9              5              5              6              3              6              7              
Vardas6934           Pavarde6934           3              9              9              6              10             0              10             6              2              
Vardas6935           Pavarde6935           2              8              9              8              8              9              10             9              9              
Vardas6936           Pavarde6936           1              7              9              0              5              3              9              9              2              
Vardas6937           Pavarde6937           7              3              6              7              7              7              0              6              1              
Vardas6938           Pavarde6938           0              4              8              5              6              8              1              0              2              
Vardas6939           Pavarde6939           0              1              3              4              8              9              6              2              9              
Vardas6940           Pavarde6940           5              0              0              7              7              4              3              6              5              
Vardas6941           Pavarde6941           8              0              8              3              2              4              8              2              2              
Vardas6942           Pavarde6942           7              9              2              7              10             10             10             2              8              
Vardas6943           Pavarde6943           9              9              7              0              9              5              5              9              8              
Vardas6944           Pavarde6944           9              4              10             4              9              3              1              6              5              
Vardas6945           Pavarde6945           8              1              4              9              9              6              0              7              5              
Vardas6946           Pavarde6946           2              10             9              2              8              7              10             8              5              
Vardas6947           Pavarde6947           5              1              6              7              9              9              4              8              8              
Vardas6948           Pavarde6948           2              5              2              10             3              5              3              10             7              
Vardas6949           Pavarde6949           8              4              2              6              9              5              10             7              9              
Vardas6950           Pavarde6950           2              1              1              6              7              0              4              10             0              
Vardas6951           Pavarde6951           6              9              1              10             10             8              9              2              1              
Vardas6952           Pavarde6952           0              9              5              8              2              0              10             10             8              
Vardas6953           Pavarde6953           7              5              3              10             10             3              7              9              8              
Vardas6954           Pavarde6954           0              1              9              4              2              7              3              5              10             
Vardas6955           Pavarde6955           6              10             9              6              7              2              10             4              3              
Vardas6956           Pavarde6956           6              8              0              5              4              4              6              9              6              
Vardas6957           Pavarde6957           4              1              3              7              3              10             7              7              9              
Vardas6958           Pavarde6958           10             5              1              6              1              6              2              1              6              
Vardas6959           Pavarde6959           6              0              2              5              8              3              8              8              2              
Vardas6960           Pavarde6960           1              1              2              1              0              5              6              10             2              
Vardas6961           Pavarde6961           9              7              1              3              7              0              2              7              5              
Vardas6962           Pavarde6962           4              10             2              2              10             3              6              2              1              
Vardas6963           Pavarde6963           9              8              4              3              6              3              5              7              8              
Vardas6964           Pavarde6964           9              4              3              2              7              8              5              5              5              
Vardas6965           Pavarde6965           3              9              2              0              3              3              2              2              1              
Vardas6966           Pavarde6966           10             2              2              3              2              2              6              3              10             
Vardas6967           Pavarde6967           7              0              2              7              2              5              7              6              10             
Vardas6968           Pavarde6968           3              0              4              5              6              3              7              2              6              
Vardas6969           Pavarde6969           6              0              3              5              1              9              2              8              4              
Vardas6970           Pavarde6970           2              2              5              9              4              1              6              6              1              
Vardas6971           Pavarde6971           6              5              2              8              9              0              9              3              3              
Vardas6972           Pavarde6972           9              2              2              4              5              0              3              1              8              
Vardas6973           Pavarde6973           7              4              2              2              6              7              6              0              7              
Vardas6974           Pavarde6974           8              9              3              1              6              1              8              1              7              
Vardas6975           Pavarde6975           2              9              6              5              3              0              3              2              8              
Vardas6976           Pavarde6976           3              7              7              7              1              4              10             3              3              
Vardas6977           Pavarde6977           0              4              5              2              8              7              4              8              1              
Vardas6978           Pavarde6978           5              7              5              1              0              10             6              0              0              
Vardas6979           Pavarde6979           3              3              6              4              8              10             3              3              0              
Vardas6980           Pavarde6980           3              8              1              10             2              7              0              6              1              
Vardas6981           Pavarde6981           1              1              9              10             9              4              6              5              1              
Vardas6982           Pavarde6982           9              4              6              6              5              9              7              10             7              
Vardas6983           Pavarde6983           10             1              2              5              0              3              8              7              7              
Vardas6984           Pavarde6984           7              2              10             6              2              5              4              0              4              
Vardas6985           Pavarde6985           7              3              3              2              3              0              3              10             2              
Vardas6986           Pavarde6986           5              8              3              5              0              10             6              5              5              
Vardas6987           Pavarde6987           0              0              6              1              3              3              4              8              1              
Vardas6988           Pavarde6988           7              2              3              1              2              3              3              3              3              
Vardas6989           Pavarde6989           4              1              7              9              3              5              7              4              7              
Vardas6990           Pavarde6990           3              7              2              7              7              3              9              1              6              
Vardas6991           Pavarde6991           7              10             0              3              10             8              10             8              10             
Vardas6992           Pavarde6992           10             6              10             8              0              4              4              2              3              
Vardas6993           Pavarde6993           0              2              6              1              0              3              3              2              3              
Vardas6994           Pavarde6994           6              4              8              1              10             8              8              8              8              
Vardas6995           Pavarde6995           8              7              7              6              6              10             3              9              8              
Vardas6996           Pavarde6996           7              8              4              3              7              2              5              0              2              
Vardas6997           Pavarde6997           8              2              5              5              8              2              4              2              7              
Vardas6998           Pavarde6998           1              4              0              10             9              10             5              5              4              
Vardas6999           Pavarde6999           7              9              7              7              3              6              8              10             4              
Vardas7000           Pavarde7000           4              9              4              10             8              9              5              9              0              
Vardas7001           Pavarde7001           10             8              5              9              2              7              3              7              5              
Vardas7002           Pavarde7002           3              1              3              1              4              6              0              2              2              
Vardas7003           Pavarde7003           3              0              6              4              3              5              10             6              10             
Vardas7004           Pavarde7004           10             2              5              10             10             10             2              0              0              
